date,version,count
2026-07-07,BLIVRE,0
2026-07-07,JFAA,0
2026-07-07,KJA,0
2026-07-07,KJF,0
2026-07-07,MENS,0
2026-07-07,NAA,0
2026-07-07,NBV,0
2026-07-07,NTLH,0
2026-07-07,NVI,0
2026-07-07,NVT,0
2026-07-07,OL,0
2026-07-07,TB,0
2026-07-07,VFL,0
2026-07-08,ACF,0
2026-07-08,ALM1911,0
2026-07-08,ARA,0
2026-07-08,ARC,0
2026-07-08,AS21,0
2026-07-08,BLIVRE,0
2026-07-08,JFAA,0
2026-07-08,KJA,0
2026-07-08,KJF,0
2026-07-08,MENS,0
2026-07-08,NAA,0
2026-07-08,NBV,0
2026-07-08,NTLH,0
2026-07-08,NVI,0
2026-07-08,NVT,0
2026-07-08,OL,0
2026-07-08,TB,0
2026-07-08,VFL,0
2026-07-09,ACF,0
2026-07-09,ALM1911,0
2026-07-09,ARA,0
2026-07-09,ARC,0
2026-07-09,AS21,0
2026-07-09,BLIVRE,0
2026-07-09,JFAA,0
2026-07-09,KJA,0
2026-07-09,KJF,0
2026-07-09,MENS,0
2026-07-09,NAA,0
2026-07-09,NBV,0
2026-07-09,NTLH,0
2026-07-09,NVI,0
2026-07-09,NVT,0
2026-07-09,OL,0
2026-07-09,TB,0
2026-07-09,VFL,0
2026-07-10,ACF,0
2026-07-10,ALM1911,0
2026-07-10,ARA,0
2026-07-10,ARC,0
2026-07-10,AS21,0
2026-07-10,BLIVRE,0
2026-07-10,JFAA,0
2026-07-10,KJA,0
2026-07-10,KJF,0
2026-07-10,MENS,0
2026-07-10,NAA,0
2026-07-10,NBV,0
2026-07-10,NTLH,0
2026-07-10,NVI,0
2026-07-10,NVT,0
2026-07-10,OL,0
2026-07-10,TB,0
2026-07-10,VFL,0
2026-07-11,ACF,0
2026-07-11,ALM1911,0
2026-07-11,ARA,0
2026-07-11,ARC,0
2026-07-11,AS21,0
2026-07-11,BLIVRE,0
2026-07-11,JFAA,0
2026-07-11,KJA,0
2026-07-11,KJF,0
2026-07-11,MENS,0
2026-07-11,NAA,0
2026-07-11,NBV,0
2026-07-11,NTLH,0
2026-07-11,NVI,0
2026-07-11,NVT,0
2026-07-11,OL,0
2026-07-11,TB,0
2026-07-11,VFL,0
2026-07-12,ACF,0
2026-07-12,ALM1911,0
2026-07-12,ARA,0
2026-07-12,ARC,0
2026-07-12,AS21,0
2026-07-12,BLIVRE,0
2026-07-12,JFAA,0
2026-07-12,KJA,0
2026-07-12,KJF,0
2026-07-12,MENS,0
2026-07-12,NAA,0
2026-07-12,NBV,0
2026-07-12,NTLH,0
2026-07-12,NVI,0
2026-07-12,NVT,0
2026-07-12,OL,0
2026-07-12,TB,0
2026-07-12,VFL,0
2026-07-24,ACF,0
2026-07-24,ALM1911,0
2026-07-24,ARA,0
2026-07-24,ARC,0
2026-07-24,AS21,0
2026-07-24,BLIVRE,0
2026-07-24,JFAA,0
2026-07-24,KJA,0
2026-07-24,KJF,0
2026-07-24,MENS,0
2026-07-24,NAA,0
2026-07-24,NBV,0
2026-07-24,NTLH,0
2026-07-24,NVI,0
2026-07-24,NVT,0
2026-07-24,OL,0
2026-07-24,TB,0
2026-07-24,VFL,0
2026-07-25,ACF,0
2026-07-25,ALM1911,0
2026-07-25,ARA,0
2026-07-25,ARC,0
2026-07-25,AS21,0
2026-07-25,BLIVRE,0
2026-07-25,JFAA,0
2026-07-25,KJA,0
2026-07-25,KJF,0
2026-07-25,MENS,0
2026-07-25,NAA,0
2026-07-25,NBV,0
2026-07-25,NTLH,0
2026-07-25,NVI,0
2026-07-25,NVT,0
2026-07-25,OL,0
2026-07-25,TB,0
2026-07-25,VFL,0
2026-07-26,ACF,0
2026-07-26,ALM1911,0
2026-07-26,ARA,0
2026-07-26,ARC,0
2026-07-26,AS21,0
2026-07-26,BLIVRE,0
2026-07-26,JFAA,0
2026-07-26,KJA,0
2026-07-26,KJF,0
2026-07-26,MENS,0
2026-07-26,NAA,0
2026-07-26,NBV,0
2026-07-26,NTLH,0
2026-07-26,NVI,0
2026-07-26,NVT,0
2026-07-26,OL,0
2026-07-26,TB,0
2026-07-26,VFL,0
2026-07-27,ACF,0
2026-07-27,ALM1911,0
2026-07-27,ARA,0
2026-07-27,ARC,0
